,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
54,nm0000530,Andrew McCarthy,1962,\N,"actor,director,producer","tt0098627,tt0091790,tt2372162,tt2741602"
55,nm0000412,Andy Garcia,1956,\N,"actor,producer,soundtrack","tt0349903,tt0240772,tt0343996,tt0099674"
56,nm0001412,Andy Kaufman,1949,1984,"actor,soundtrack,writer","tt0125664,tt0080917,tt0082507,tt0077089"
57,nm1676221,Andy Samberg,1978,\N,"actor,producer,soundtrack","tt9484998,tt3960412,tt0072562,tt1232200"
58,nm0785227,Andy Serkis,1964,\N,"actor,producer,director","tt2103281,tt1318514,tt3450958,tt0167261"
59,nm0000291,Angela Bassett,1958,\N,"actress,producer,director","tt0114558,tt2302755,tt1825683,tt0118884"
60,nm0001450,Angela Lansbury,1925,\N,"actress,producer,soundtrack","tt0066817,tt0118617,tt0056218,tt0101414"
61,nm0001401,Angelina Jolie,1975,\N,"actress,producer,director","tt0824747,tt1587310,tt0172493,tt0493464"
62,nm0427489,Angus T. Jones,1993,\N,"actor,soundtrack","tt0305669,tt0250720,tt0265662,tt0369179"
63,nm0001378,Anjelica Huston,1951,\N,"actress,director,producer","tt0120631,tt0101272,tt0099703,tt0100944"
64,nm2319871,Anna Camp,1982,\N,"actress,soundtrack,producer","tt1981677,tt1454029"
65,nm0267506,Anna Faris,1976,\N,"actress,soundtrack,producer","tt0433400,tt0388795,tt0362120,tt0852713"
66,nm0447695,Anna Kendrick,1985,\N,"actress,soundtrack,producer","tt1981677,tt1193138,tt2180411,tt4765284"
67,nm0536167,Anna Magnani,1908,1973,"actress,soundtrack,writer","tt0048563,tt0038890,tt0040092,tt0039682"
68,nm0001593,Anna Paquin,1982,\N,"actress,producer,soundtrack","tt0290334,tt0120903,tt0107822,tt0367089"
69,nm1455681,AnnaSophia Robb,1993,\N,"actress,soundtrack","tt1727388,tt0398808,tt0367594,tt1596346"
70,nm0000843,Anne Bancroft,1931,2005,"actress,soundtrack,director","tt0076843,tt0056241,tt0119223,tt0061722"
71,nm0000879,Anne Baxter,1923,1985,"actress,soundtrack,producer","tt0042192,tt0038873,tt0035015,tt0049833"
72,nm0004266,Anne Hathaway,1982,\N,"actress,soundtrack,producer","tt4680182,tt1707386,tt1345836,tt1084950"
73,nm0000906,Annette Bening,1958,\N,"actress,soundtrack,executive","tt0099703,tt4385888,tt0169547,tt0842926"
74,nm0372117,Anthony Head,1954,\N,"actor,soundtrack","tt0421994,tt0963194,tt0118276,tt1071875"
75,nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0975645,tt0212985,tt0102926,tt0412080"
76,nm1107001,Anthony Mackie,1978,\N,"actor,soundtrack,producer","tt0887912,tt3498820,tt1843866,tt1385826"
77,nm0000578,Anthony Perkins,1932,1992,"actor,soundtrack,director","tt0049233,tt0054215,tt0086154,tt0091799"
