,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers
57,tt1446714,movie,Prometheus,Prometheus,0,2012,\N,124,"Adventure,Mystery,Sci-Fi",7.0,569915.0,nm0000631,"nm3123612,nm0511541,nm0639321,nm0795953"
58,tt1355644,movie,Passengers,Passengers,0,2016,\N,116,"Drama,Romance,Sci-Fi",7.0,352082.0,nm0878763,nm3123612
59,tt3076658,movie,Creed,Creed,0,2015,\N,133,"Drama,Sport",7.6,248763.0,nm3363032,"nm3363032,nm2128400,nm0000230"
60,tt1809398,movie,Unbroken,Unbroken,0,2014,\N,137,"Action,Biography,Drama",7.2,150432.0,nm0001401,"nm0001054,nm0001053,nm0481418,nm0629933,nm1227780"
61,tt3499096,movie,Race,Race,0,2016,\N,134,"Biography,Drama,Sport",7.1,35000.0,nm0394280,"nm1100123,nm3143608"
62,tt2223990,movie,Draft Day,Draft Day,0,2014,\N,110,"Drama,Sport",6.8,54971.0,nm0718645,"nm2744027,nm4396670"
63,tt0936501,movie,Taken,Taken,0,2008,\N,90,"Action,Thriller",7.8,566243.0,nm0603628,"nm0000108,nm0436543"
64,tt0283509,movie,No Man's Land,No Man's Land,0,2001,\N,98,"Comedy,Drama,War",7.9,44816.0,nm0849786,nm0849786
65,tt3425390,movie,No Man's Land,No Man's Land,0,2001,\N,52,Documentary,,,nm0639107,\N
66,tt11374114,movie,The King,The King,0,2019,\N,\N,Documentary,,,nm4409507,nm4409507
67,tt7984766,movie,The King,The King,0,2019,\N,140,"Biography,Drama,History",7.2,90658.0,nm2391575,"nm2391575,nm0249291"
68,tt1034303,movie,Defiance,Defiance,0,2008,\N,137,"Action,Drama,History",7.2,138663.0,nm0001880,"nm0296243,nm0001880,nm2739958"
69,tt2582782,movie,Hell or High Water,Hell or High Water,0,2016,\N,102,"Action,Crime,Drama",7.6,205318.0,nm0533284,nm0792263
70,tt0338188,movie,The Missing,The Missing,0,2003,\N,137,"Adventure,Thriller,Western",6.5,33361.0,nm0000165,"nm1268336,nm0442190"
71,tt0384344,movie,The Missing,Bu jian,0,2003,\N,82,Drama,6.2,315.0,nm0497642,"nm5050094,nm0497642"
72,tt1441912,movie,The Way,The Way,0,2010,\N,123,"Adventure,Comedy,Drama",7.4,30744.0,nm0000389,"nm0000389,nm2098549"
73,tt1692226,movie,The Way,The Way,0,2010,\N,107,Drama,7.1,9.0,nm1102236,nm1102236
74,tt2159988,movie,The Walk,The Walk,0,2015,\N,89,"Crime,Thriller",6.8,129.0,nm2228615,nm2228615
75,tt3488710,movie,The Walk,The Walk,0,2015,\N,123,"Action,Adventure,Biography",7.3,120447.0,nm0000709,"nm0000709,nm1358613,nm0677597"
76,tt1023114,movie,The Way Back,The Way Back,0,2010,\N,133,"Adventure,Drama,History",7.3,110901.0,nm0001837,"nm3524563,nm0001837,nm0164851"
77,tt2167266,movie,Tracks,Tracks,0,2013,\N,112,"Adventure,Biography,Drama",7.2,27969.0,nm0192845,"nm5327453,nm0203475"
78,tt2734456,movie,Tracks,Tracks,0,2013,\N,70,"Crime,Drama",,,"nm3851635,nm0095771","nm3851635,nm0095771"
