,tconst,Unnamed: 0,Unnamed: 0.1,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,actors,awards,country,language,budget,worldwideGross,oscarsWon,oscarsNom,goldenGlobesWon,goldenGlobesNom,totalWins,totalNoms
40,tt1825978,40,3735136,movie,The Artist,The Artist,0,2011,\N,100,Thriller,6.4,9.0,nm3908851,nm3908851,"Mamta Bhatia,Sunil Prem Vyas",,India,Hindi,"INR6,000,000",,0,0,0,0,0,
41,tt0817177,41,792225,movie,Flipped,Flipped,0,2010,\N,90,"Comedy,Drama,Romance",7.7,81776.0,nm0001661,"nm0001661,nm0770650,nm2300000","Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,John Mahoney,Penelope Ann Miller,Aidan Quinn,Kevin Weisman,Morgan Lily,Ryan Ketzner",2wins2nominations,USA,English,"$14,000,000","$4,225,921",0,0,0,0,2,2
42,tt4226388,42,5052784,movie,Victoria,Victoria,0,2015,\N,138,"Crime,Drama,Romance",7.6,53279.0,nm0771923,"nm0771923,nm4302809,nm5457972","Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit,Max Mauff,André Hennicke,Eike Frederik Schulz,Hans-Ulrich Laux,Lena Klenke,Philipp Kubitza",17wins21nominations,Germany,"German,English,Spanish,Turkish",,"$3,192,275",0,0,0,0,17,21
43,tt4581458,43,5211912,movie,Victoria,Victoria,0,2015,\N,70,Documentary,6.6,12.0,nm0898224,nm0898224,"Jaime Alberto,Lucía Marmori,Raimundo Marmori,Ramón Maschio,Victoria Morán",,Argentina,Spanish,,,0,0,0,0,0,
44,tt2980794,44,4509796,movie,Highway,Highway,0,2014,\N,133,"Crime,Drama,Romance",7.6,26581.0,nm1665004,nm1665004,"Alia Bhatt,Randeep Hooda,Durgesh Kumar,Pradeep Nagar,Saharsh Kumar Shukla,Hemant Mathur,Shakeel Khan,Mohit Choudhary,Reuben Israel,Arjun Malhotra",7wins19nominations,India,Hindi,,"$858,783",0,0,0,0,7,19
45,tt4594050,45,5217602,movie,Highway,Highway,0,2014,\N,110,Drama,6.0,134.0,nm2807963,\N,"Parambrata Chattopadhyay,Koyel Mallick,Shilajit Majumdar,Gaurav Chakrabarty,Sabitri Chatterjee,Dipankar Dey,Rita Chakraborty,Bharat Kaul",,India,Bengali,,,0,0,0,0,0,
46,tt1714210,46,3629435,movie,Weekend,Weekend,0,2011,\N,97,"Drama,Romance",7.6,28213.0,nm0354091,nm0354091,"Tom Cullen,Chris New,Jonathan Race,Laura Freeman,Loreto Murray,Jonathan Wright,Sarah Churm,Jermaine Vauxhall Liburd,Joe Doherty,Kieran Hardcastle",23wins22nominations,UK,English,"GBP120,000","$1,192,003",0,0,0,0,23,22
47,tt1791679,47,3702696,movie,Weekend,Weekend,0,2011,\N,121,"Action,Comedy,Crime",3.9,642.0,nm0668640,nm4214252,"Andrzej Andrzejewski,Adrianna Biedrzynska,Filip Bobek,Robert Brzezinski Jr.,Jacek Dlugosz,Pawel Domagala,Ryszard Dreger,Jan Frycz,Agnieszka Jaskólka,Grzegorz Jurek",,Poland,Polish,"$2,000,000","$4,689,925",0,0,0,0,0,
48,tt1910670,48,3816713,movie,Weekend,Weekend,0,2011,\N,80,"Comedy,Drama",5.8,5.0,nm3248760,nm3248760,"Ben Aguirre,Kayti Bulfinch,Timothy Casto,Gabriel Enriquez,Elizabeth Ferraris,Clare Fog,Marilyn Foley,Patrick Foley,Dana Jamison,Ryan Kimery",,USA,English,,,0,0,0,0,0,
49,tt2543164,49,4327033,movie,Arrival,Arrival,0,2016,\N,116,"Drama,Sci-Fi",7.9,598058.0,nm0898288,"nm2104063,nm5384213","Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,""Mark OBrien"",Tzi Ma,Abigail Pniowsky,Julia Scarlett Dan,Jadyn Malone,Frank Schorpion","Won1Oscar,63wins261nominations","USA,Canada","English,Russian,Mandarin","$47,000,000","$203,388,186",1,0,0,0,63,261
50,tt2397535,50,4264085,movie,Predestination,Predestination,0,2014,\N,97,"Action,Drama,Sci-Fi",7.5,254012.0,"nm1294961,nm1294962","nm1294961,nm1294962,nm0374423","Ethan Hawke,Sarah Snook,Christopher Kirby,Christopher Sommers,Kuni Hashimoto,Sara El-Yafi,Paul Moder,Grant Piro,Christopher Bunworth,Jamie Gleeson",12wins19nominations,"Australia,USA",English,"$5,100,000","$4,942,449",0,0,0,0,12,19
51,tt1219289,51,2220429,movie,Limitless,Limitless,0,2011,\N,105,"Sci-Fi,Thriller",7.4,528544.0,nm1139726,"nm0228908,nm2982186","Bradley Cooper,Robert De Niro,Abbie Cornish,Andrew Howard,Anna Friel,Johnny Whitworth,Tomas Arana,Robert John Burke,Darren Goldstein,Ned Eisenberg",2wins8nominations,"USA,Mexico","English,Russian,Italian,Mandarin,French","$27,000,000","$161,849,455",0,0,0,0,2,8
52,tt1051906,52,1264117,movie,The Invisible Man,The Invisible Man,0,2020,\N,124,"Drama,Horror,Mystery",7.1,170638.0,nm1191481,"nm1191481,nm0920229","Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer,Aldis Hodge,Storm Reid,Michael Dorman,Benedict Hardie,Renee Lim,Brian Meegan,Nick Kici",25wins61nominations,"Canada,Australia,USA",English,"$7,000,000","$143,151,000",0,0,0,0,25,61
53,tt0472033,53,454031,movie,9,9,0,2009,\N,79,"Action,Adventure,Animation",7.1,133786.0,nm0009942,"nm0972040,nm0009942,nm0994310","Christopher Plummer,Martin Landau,John C. Reilly,Crispin Glover,Jennifer Connelly,Fred Tatasciore,Elijah Wood,Alan Oppenheimer,Tom Kane,Helen Wilson",9nominations,"USA,Luxembourg,Canada",English,"$30,000,000","$48,428,063",0,0,0,0,0,9
54,tt13830296,54,3155373,movie,Love and Monsters,Love and Monsters,0,2020,\N,\N,Comedy,,,nm7393537,nm4143031,"Yuliya Afanaseva,Anna Ardova,Sofya Ardova,Dmitriy Blokhin,Lorina Kamburova,Ventsislav Kovatchev,Roman Kurtsyn,Kirill Käro,Vyacheslav Manucharov,Grigoriy Perel",,Russia,Russian,,,0,0,0,0,0,
55,tt2222042,55,4109093,movie,Love and Monsters,Love and Monsters,0,2020,\N,109,"Action,Adventure,Comedy",7.0,33099.0,nm3462290,"nm3929259,nm2816668","""Dylan OBrien"",Jessica Henwick,Michael Rooker,Dan Ewing,Ariana Greenblatt,Ellen Hollman,Tre Hale,Pacharo Mzembe,Senie Priti,Amali Golden",3nominations,"Canada,USA",English,,"$1,070,714",0,0,0,0,0,3
